,clf_name,params,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1-score,std_test_f1-score,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
0,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.4,0.4898979485566356,0.2333333333333333,0.3265986323710904,0.2833333333333333,0.3655285366576884,0.8529166666666667,0.08535160123473569,0.13340094089508056,0.02194227947404195
1,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.2333333333333333,0.32659863237109044,0.2333333333333333,0.3265986323710904,0.21333333333333332,0.2745501370929867,0.8208333333333332,0.06236095644623237,0.47230920791625974,0.13996003370483862
2,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 150}",0.35,0.39051248379533277,0.21666666666666665,0.2242270674512285,0.25666666666666665,0.2637549367626446,0.8462500000000001,0.05202329873346281,0.5949994564056397,0.14458482624719443
3,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.35,0.39051248379533277,0.21666666666666665,0.2242270674512285,0.2633333333333333,0.27666666666666667,0.8404166666666667,0.0692732612356472,0.45246570110321044,0.0887423971178683
4,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 250}",0.4,0.43588989435406733,0.21666666666666665,0.2242270674512285,0.27999999999999997,0.29484459183327977,0.8533333333333333,0.062494444197508915,0.486545205116272,0.051762956124299785
5,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",0.3,0.39999999999999997,0.18333333333333332,0.22912878474779202,0.22333333333333333,0.28286235364769047,0.8341666666666667,0.07023769168568493,0.5674327135086059,0.16736540290274562
6,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 350}",0.35,0.45,0.18333333333333332,0.22912878474779202,0.2333333333333333,0.2905932629027116,0.8466666666666667,0.06508007887723147,0.6784031629562378,0.13114668493173093
7,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 400}",0.3,0.4,0.18333333333333332,0.22912878474779202,0.21666666666666665,0.2692582403567252,0.8208333333333334,0.0850245062712314,0.619636869430542,0.056299165714629
8,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 450}",0.3,0.39999999999999997,0.18333333333333332,0.22912878474779202,0.22333333333333333,0.28286235364769047,0.8345833333333333,0.07399910847811314,0.6535046815872192,0.00858503737925896
9,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.35,0.45,0.2333333333333333,0.3265986323710904,0.26666666666666666,0.35118845842842467,0.8466666666666667,0.08452892338654792,0.799588394165039,0.05256669106677999
10,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 50}",0.5,0.4472135954999579,0.2833333333333333,0.2362907813126304,0.35,0.29297326385411576,0.8720833333333333,0.0555605900496626,0.07628328800201416,0.005318316365457691
11,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 100}",0.4,0.4358898943540674,0.21666666666666665,0.2242270674512285,0.2733333333333333,0.283156807754604,0.8529166666666667,0.0562438268217549,0.17599749565124512,0.030410019929265186
12,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 150}",0.35,0.45,0.18333333333333332,0.22912878474779202,0.24,0.3028751117760146,0.8533333333333333,0.062494444197508915,0.2511998891830444,0.029643678122348915
13,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200}",0.3,0.4,0.18333333333333332,0.22912878474779202,0.22333333333333333,0.28286235364769047,0.8595833333333334,0.05345851195085774,0.36388535499572755,0.05496749855406384
14,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 250}",0.35,0.45,0.18333333333333332,0.22912878474779202,0.24,0.3028751117760146,0.8533333333333333,0.062494444197508915,0.3800363063812256,0.014561598445499944
15,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 300}",0.35,0.45,0.18333333333333332,0.22912878474779202,0.2333333333333333,0.2905932629027116,0.8595833333333334,0.05345851195085774,0.54469735622406,0.13143847325348545
16,RandomForestClassifier,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 350}",0.4,0.4898979485566356,0.18333333333333332,0.22912878474779202,0.24999999999999994,0.30956959368344517,0.86625,0.05789867826163603,0.5972994565963745,0.03720997433987717
