,clf_name,params,mean_test_precision,std_test_precision,mean_test_recall,std_test_recall,mean_test_f1-score,std_test_f1-score,mean_test_accuracy,std_test_accuracy,mean_fit_time,std_fit_time
0,AdaBoostClassifier,"{'learning_rate': 0.0001, 'n_estimators': 100}",0.35,0.32015621187164245,0.25,0.21408720964441882,0.27999999999999997,0.2315167380558045,0.83375,0.0563794806053881,0.19383594989776612,0.05493761905454347
1,AdaBoostClassifier,"{'learning_rate': 0.0001, 'n_estimators': 150}",0.35,0.32015621187164245,0.25,0.21408720964441882,0.27999999999999997,0.2315167380558045,0.83375,0.0563794806053881,0.2802316665649414,0.03494429032150415
2,AdaBoostClassifier,"{'learning_rate': 0.0001, 'n_estimators': 200}",0.35,0.32015621187164245,0.25,0.21408720964441882,0.27999999999999997,0.2315167380558045,0.83375,0.0563794806053881,0.3838240623474121,0.10727912930457098
3,AdaBoostClassifier,"{'learning_rate': 0.0001, 'n_estimators': 250}",0.35,0.32015621187164245,0.25,0.21408720964441882,0.27999999999999997,0.2315167380558045,0.83375,0.0563794806053881,0.4915298938751221,0.11880683727394849
4,AdaBoostClassifier,"{'learning_rate': 0.0001, 'n_estimators': 300}",0.35,0.32015621187164245,0.25,0.21408720964441882,0.27999999999999997,0.2315167380558045,0.8525,0.029297326385411573,0.5224244594573975,0.06763745415631352
5,AdaBoostClassifier,"{'learning_rate': 0.0001, 'n_estimators': 350}",0.35,0.32015621187164245,0.25,0.21408720964441882,0.27999999999999997,0.2315167380558045,0.8525,0.029297326385411573,0.6187917947769165,0.05612858034447258
6,AdaBoostClassifier,"{'learning_rate': 0.0001, 'n_estimators': 400}",0.35,0.32015621187164245,0.25,0.21408720964441882,0.27999999999999997,0.2315167380558045,0.8525,0.029297326385411573,0.6487519264221191,0.08772408093688487
7,AdaBoostClassifier,"{'learning_rate': 0.0001, 'n_estimators': 450}",0.35,0.32015621187164245,0.25,0.21408720964441882,0.27999999999999997,0.2315167380558045,0.8525,0.029297326385411573,0.8651940107345581,0.14895980179723128
8,AdaBoostClassifier,"{'learning_rate': 0.0001, 'n_estimators': 500}",0.35,0.32015621187164245,0.25,0.21408720964441882,0.27999999999999997,0.2315167380558045,0.8525,0.029297326385411573,0.6918804883956909,0.00932288521574364
9,AdaBoostClassifier,"{'learning_rate': 0.0201, 'n_estimators': 100}",0.15,0.32015621187164245,0.1,0.20000000000000004,0.11666666666666665,0.2362907813126304,0.8591666666666666,0.03660031875999625,0.13907043933868407,0.002696457764557557
10,AdaBoostClassifier,"{'learning_rate': 0.0201, 'n_estimators': 150}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8591666666666666,0.04720669679422849,0.20673086643218994,0.0026692582606500904
11,AdaBoostClassifier,"{'learning_rate': 0.0201, 'n_estimators': 200}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8591666666666666,0.04720669679422849,0.2887768268585205,0.012751825622209506
12,AdaBoostClassifier,"{'learning_rate': 0.0201, 'n_estimators': 250}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8529166666666667,0.0562438268217549,0.4232590675354004,0.08377106302445218
13,AdaBoostClassifier,"{'learning_rate': 0.0201, 'n_estimators': 300}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8529166666666667,0.0562438268217549,0.6299763917922974,0.10538168064263718
14,AdaBoostClassifier,"{'learning_rate': 0.0201, 'n_estimators': 350}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8529166666666667,0.0562438268217549,0.5997488021850585,0.09155665190877128
15,AdaBoostClassifier,"{'learning_rate': 0.0201, 'n_estimators': 400}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8529166666666667,0.0562438268217549,0.5670804500579834,0.022845737414438277
16,AdaBoostClassifier,"{'learning_rate': 0.0201, 'n_estimators': 450}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8466666666666667,0.0634045652054242,0.6828833818435669,0.060235125148168686
17,AdaBoostClassifier,"{'learning_rate': 0.0201, 'n_estimators': 500}",0.2333333333333333,0.39581140290126393,0.15,0.22912878474779202,0.17333333333333334,0.27357712704910925,0.83375,0.06963321565332325,0.899022889137268,0.12084897175075131
18,AdaBoostClassifier,"{'learning_rate': 0.040100000000000004, 'n_estimators': 100}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8591666666666666,0.04720669679422849,0.21943187713623047,0.02941988831829988
19,AdaBoostClassifier,"{'learning_rate': 0.040100000000000004, 'n_estimators': 150}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8529166666666667,0.0562438268217549,0.3800194263458252,0.13564035099802688
20,AdaBoostClassifier,"{'learning_rate': 0.040100000000000004, 'n_estimators': 200}",0.25,0.4031128874149275,0.15,0.22912878474779202,0.1833333333333333,0.2833333333333333,0.8466666666666667,0.0634045652054242,0.3836621046066284,0.07534388482536705
21,AdaBoostClassifier,"{'learning_rate': 0.040100000000000004, 'n_estimators': 250}",0.2333333333333333,0.39581140290126393,0.15,0.22912878474779202,0.17333333333333334,0.27357712704910925,0.83375,0.06963321565332325,0.43850581645965575,0.05530568303842863
